"31/01/2018,","17:15:02.042739,"
"31/01/2018,","17:15:02.042801,"
"31/01/2018,","17:15:02.042853,"
"31/01/2018,","17:15:02.042927,"
"31/01/2018,","17:15:02.043008,"
"31/01/2018,","17:15:02.043056,"
"31/01/2018,","17:15:02.043123,"
"31/01/2018,","17:15:02.043199,"
"31/01/2018,","17:15:02.043275,"
"31/01/2018,","17:15:02.043336,"
"31/01/2018,","17:15:02.043375,"
"31/01/2018,","17:15:02.043418,"
"31/01/2018,","17:15:02.043473,"
"31/01/2018,","17:15:02.043524,"
"31/01/2018,","17:15:02.043597,"
"31/01/2018,","17:15:02.043684,"
"31/01/2018,","17:15:02.043732,"
"31/01/2018,","17:15:02.043798,"
"31/01/2018,","17:15:02.043877,"
"31/01/2018,","17:15:02.043934,"
"31/01/2018,","17:15:02.043986,"
"31/01/2018,","17:15:02.044058,"
"31/01/2018,","17:15:02.044143,"
"31/01/2018,","17:15:02.044192,"
"31/01/2018,","17:15:02.044258,"
"31/01/2018,","17:15:02.044334,"
"31/01/2018,","17:15:02.044392,"
"31/01/2018,","17:15:02.044443,"
"31/01/2018,","17:15:02.044506,"
"31/01/2018,","17:15:02.044592,"
"31/01/2018,","17:15:02.044641,"
"31/01/2018,","17:15:02.044713,"
"31/01/2018,","17:15:02.044789,"
"31/01/2018,","17:15:02.044849,"
"31/01/2018,","17:15:02.044904,"
"31/01/2018,","17:15:02.044974,"
"31/01/2018,","17:15:02.045061,"
"31/01/2018,","17:15:02.045110,"
"31/01/2018,","17:15:02.045175,"
"31/01/2018,","17:15:02.045259,"
"31/01/2018,","17:15:02.045353,"
"31/01/2018,","17:15:02.045401,"
"31/01/2018,","17:15:02.045466,"
"31/01/2018,","17:15:02.045543,"
"31/01/2018,","17:15:02.045603,"
"31/01/2018,","17:15:02.045654,"
"31/01/2018,","17:15:02.045717,"
"31/01/2018,","17:15:02.045797,"
"31/01/2018,","17:15:02.045852,"
"31/01/2018,","17:15:02.045920,"
"31/01/2018,","17:15:02.045995,"
"31/01/2018,","17:15:02.046055,"
"31/01/2018,","17:15:02.046106,"
"31/01/2018,","17:15:02.046175,"
"31/01/2018,","17:15:02.046262,"
"31/01/2018,","17:15:02.046311,"
"31/01/2018,","17:15:02.046378,"
"31/01/2018,","17:15:02.046462,"
"31/01/2018,","17:15:02.046568,"
"31/01/2018,","17:15:02.046616,"
"31/01/2018,","17:15:02.046665,"
"31/01/2018,","17:15:02.046731,"
"31/01/2018,","17:15:02.046816,"
"31/01/2018,","17:15:02.046866,"
"31/01/2018,","17:15:02.046954,"
"31/01/2018,","17:15:02.047004,"
"31/01/2018,","17:15:02.047091,"
"31/01/2018,","17:15:02.047153,"
"31/01/2018,","17:15:02.047205,"
"31/01/2018,","17:15:02.047265,"
"31/01/2018,","17:15:02.047348,"
"31/01/2018,","17:15:02.047447,"
"31/01/2018,","17:15:02.047496,"
"31/01/2018,","17:15:02.047563,"
"31/01/2018,","17:15:02.047632,"
"31/01/2018,","17:15:02.047691,"
"31/01/2018,","17:15:02.047741,"
"31/01/2018,","17:15:02.047804,"
"31/01/2018,","17:15:02.047884,"
"31/01/2018,","17:15:02.047934,"
"31/01/2018,","17:15:02.047995,"
"31/01/2018,","17:15:02.048072,"
"31/01/2018,","17:15:02.048134,"
"31/01/2018,","17:15:02.048186,"
"31/01/2018,","17:15:02.048259,"
"31/01/2018,","17:15:02.048337,"
"31/01/2018,","17:15:02.048389,"
"31/01/2018,","17:15:02.048452,"
"31/01/2018,","17:15:02.048522,"
"31/01/2018,","17:15:02.048576,"
"31/01/2018,","17:15:02.048627,"
"31/01/2018,","17:15:02.048694,"
"31/01/2018,","17:15:02.048768,"
"31/01/2018,","17:15:02.048825,"
"31/01/2018,","17:15:02.048875,"
"31/01/2018,","17:15:02.048939,"
"31/01/2018,","17:15:02.049012,"
"31/01/2018,","17:15:02.049068,"
"31/01/2018,","17:15:02.049137,"
"31/01/2018,","17:15:02.049208,"
"31/01/2018,","17:15:02.049271,"
"31/01/2018,","17:15:02.049323,"
"31/01/2018,","17:15:02.049391,"
"31/01/2018,","17:15:02.049477,"
"31/01/2018,","17:15:02.049525,"
"31/01/2018,","17:15:02.049591,"
"31/01/2018,","17:15:02.049674,"
"31/01/2018,","17:15:02.049734,"
"31/01/2018,","17:15:02.049815,"
"31/01/2018,","17:15:02.049906,"
"31/01/2018,","17:15:02.049960,"
"31/01/2018,","17:15:02.050027,"
"31/01/2018,","17:15:02.050110,"
"31/01/2018,","17:15:02.050158,"
"31/01/2018,","17:15:02.050223,"
"31/01/2018,","17:15:02.050304,"
"31/01/2018,","17:15:02.050366,"
"31/01/2018,","17:15:02.050418,"
"31/01/2018,","17:15:02.050485,"
"31/01/2018,","17:15:02.050568,"
"31/01/2018,","17:15:02.050626,"
"31/01/2018,","17:15:02.050691,"
"31/01/2018,","17:15:02.050774,"
"31/01/2018,","17:15:02.050823,"
"31/01/2018,","17:15:02.050893,"
"31/01/2018,","17:15:02.050971,"
"31/01/2018,","17:15:02.051029,"
"31/01/2018,","17:15:02.051095,"
"31/01/2018,","17:15:02.051135,"
"31/01/2018,","17:15:02.051173,"
"31/01/2018,","17:15:02.051211,"
"31/01/2018,","17:15:02.051250,"
"31/01/2018,","17:15:02.051288,"
"31/01/2018,","17:15:02.051326,"
"31/01/2018,","17:15:02.051363,"
"31/01/2018,","17:15:02.051400,"
"31/01/2018,","17:15:02.051438,"
"31/01/2018,","17:15:02.051475,"
"31/01/2018,","17:15:02.051512,"
"31/01/2018,","17:15:02.051549,"
"31/01/2018,","17:15:02.051587,"
"31/01/2018,","17:15:02.051624,"
"31/01/2018,","17:15:02.051661,"
"31/01/2018,","17:15:02.051699,"
"31/01/2018,","17:15:02.051737,"
"31/01/2018,","17:15:02.051774,"
"31/01/2018,","17:15:02.051811,"
"31/01/2018,","17:15:02.051849,"
"31/01/2018,","17:15:02.051886,"
"31/01/2018,","17:15:02.051923,"
"31/01/2018,","17:15:02.051961,"
"31/01/2018,","17:15:02.051999,"
"31/01/2018,","17:15:02.052037,"
"31/01/2018,","17:15:02.052075,"
"31/01/2018,","17:15:02.052112,"
"31/01/2018,","17:15:02.052149,"
"31/01/2018,","17:15:02.052191,"
"31/01/2018,","17:15:02.052229,"
"31/01/2018,","17:15:02.052266,"
"31/01/2018,","17:15:02.052303,"
"31/01/2018,","17:15:02.052341,"
"31/01/2018,","17:15:02.052379,"
"31/01/2018,","17:15:02.052416,"
"31/01/2018,","17:15:02.052453,"
"31/01/2018,","17:15:02.052490,"
"31/01/2018,","17:15:02.052528,"
"31/01/2018,","17:15:02.052567,"
"31/01/2018,","17:15:02.052604,"
"31/01/2018,","17:15:02.052641,"
"31/01/2018,","17:15:02.052717,"
"31/01/2018,","17:15:02.052790,"
"31/01/2018,","17:15:02.052862,"
"31/01/2018,","17:15:02.052934,"
"31/01/2018,","17:15:02.053003,"
"31/01/2018,","17:15:02.053059,"
"31/01/2018,","17:15:02.053097,"
"31/01/2018,","17:15:02.053134,"
"31/01/2018,","17:15:02.053171,"
"31/01/2018,","17:15:02.053209,"
"31/01/2018,","17:15:02.053275,"
"31/01/2018,","17:15:02.053330,"
"31/01/2018,","17:15:02.053370,"
"31/01/2018,","17:15:02.053408,"
"31/01/2018,","17:15:02.053445,"
"31/01/2018,","17:15:02.053482,"
"31/01/2018,","17:15:02.053519,"
"31/01/2018,","17:15:02.053556,"
"31/01/2018,","17:15:02.053593,"
"31/01/2018,","17:15:02.053630,"
"31/01/2018,","17:15:02.053667,"
"31/01/2018,","17:15:02.053704,"
"31/01/2018,","17:15:02.053741,"
"31/01/2018,","17:15:02.053779,"
"31/01/2018,","17:15:02.053817,"
